date,"media_outlet",title,text,url
"May 31, 2023 @ 20:00:00.000",ahoranoticiasmega,"Pronóstico de lluvia para el fin de semana: Revisa las zonas en las que se esperan precipitaciones","De acuerdo al reporte de la Dirección Meteorológica de Chile, se espera que distintas zonas del país se vean afectadas por precipitaciones durante este fin de semana, incluyendo el viernes 2 de junio. Es específico, se trataría de 11 regiones en total en las que se presentaría el fenómeno, incluyendo a la zona insular de la región de Valparaíso. Ir a la siguiente nota Según el organismo, en la zona insular de la región de Valparaíso, en Isla de Pascua, se espera lluvia en la noche del sábado y toda la jornada del domingo. También se esperan precipitaciones para este viernes en la zona continental de la región de Valparaíso, donde se harían presente durante la mañana y la tarde. El mismo día, en la región Metropolitana, el fenómeno se presentaría en la tarde y en la noche, mientras que en O'Higgins comenzaría en la mañana y terminaría en la noche. Para la región de Maule se pronostica lluvia desde la madrugada hasta la tarde de este 2 de junio, al igual que en Ñuble, donde también caerían chubascos desde la tarde del sábado hasta la madrugada del domingo. En tanto, En Biobío el pronóstico apunta en la madrugada y mañana del viernes, y desde la mañana hasta el resto de la jornada del sábado. Las precipitaciones se harían presente en La Araucanía en la madrugada, tarde y noche del 2 de junio, y desde la madrugada hasta la tarde del día siguiente. Para Los Ríos se espera que el fenómeno se haga presente todo el viernes y el sábado, al igual que en Los Lagos, donde también se extendería en la noche del domingo. Se espera que en la región de Aysén caiga agua-nieve en la madrugada del 2 de junio, mientras que la lluvia se presentaría en la tarde y en la noche. Al día siguiente se registrarían nevadas hasta la mañana y chubascos el resto de la jornada. Finalmente, el domingo, las precipitaciones ocurrirían en la tarde y en la noche. En la región de Magallanes, en Torres del Paine, caerían chubascos desde la madrugada hasta la tarde del viernes. El 3 de junio habría chubascos de agua-nieve en la mañana y en la tarde, y chubascos de niev en la noche; mientras que el domingo la lluvia se registraría en la tarde y en la noche. En tanto, Punta Arenas presentaría precipitaciones en la madrugada, mañana y noche del viernes, además de la noche del domingo. Todo sobre El Tiempo","https://www.meganoticias.cl/nacional/415732-lluvia-fin-de-semana-santiago-regiones-pronostico-del-tiempo-25-05-2023.html"
"May 31, 2023 @ 20:00:00.000",elciudadano,"Boric: «En 15 meses hemos cumplido nuestro compromiso de alcanzar un sueldo mínimo de 500 mil pesos»","«En 15 meses hemos cumplido nuestro compromiso de alcanzar un sueldo mínimo de 500 mil pesos, mediante un incremento que empezó a regir en mayo de este año», afirmó este jueves el presidente Gabriel Boric. Durante la presentación de su cuenta pública, el jefe de Estado señaló que durante el año y tres meses transcurridos desde que asumió la presidencia, los integrantes de su Gobierno han sabido adaptarse y responder a las contingencias, que han sido numerosas y profundas. «Hemos conseguido materializar un conjunto de cambios que están en nuestro programa y que significan mejoras significativas en la vida de nuestros compatriotas», afirmó desde el Congreso de Valparaíso. El mandatario enumeró partes de los logros alcanzados por su administración: En primer lugar indicó que se logró materializar el Copago Cero que consagra la gratuidad en la salud en el sistema público y que ya ha beneficiado a más de 658 mil personas. «A la vez hemos reducido significativamente las listas de espera respecto a cómo las recibimos», dijo. También señaló que se logró sacar adelante una ley (recogiendo varias iniciativas parlamentarias) para asegurar el pago efectivo de la pensión de alimentos. Destacó los avances logrados en materia laboral. «Aprobamos en conjunto la reducción de la jornada laboral a 40 horas. Aumentamos, en acuerdo con la CUT, el sueldo mínimo a 500 mil pesos. Y llegamos a acuerdo también con la mayoría de las organizaciones de pymes de establecer un subsidio inédito en apoyo a éstas, para que nadie se quede atrás», recordó Boric. «Gracias al trabajo de este parlamento y al impulso que le dimos como gobierno, una política pública tan sentida por miles de familias como a Ley TEA es hoy día realidad. Las personas neuro-divergentes al finreconocidas por el Estado», acotó. En su alocución, el mandatario se refirió a la aprobación de un royalty minero que permitirá incrementar los beneficios y el desarrollo para Chile, sus regiones y sus comunas. «Hemos disminuido significativamente las listas de espera en salud, avanzamos a paso firme con el Plan de Emergencia Habitacional», agregó. «A algunos quizás pueda parecerles insuficiente, pero desde mi posición como Presidente, la que me ha dado la oportunidad de conocer las dificultades que tiene producir inflexiones y cambios en democracia, quiero, sin desconocer que queda muchísimo por hacer, expresar mi orgullo por lo que hemos alcanzado en este primer año», afirmó Boric. Sigue leyendo:","https://www.elciudadano.com/politica/boric-en-15-meses-hemos-cumplido-nuestro-compromiso-de-alcanzar-un-sueldo-minimo-de-500-mil-pesos/06/01/"
"May 31, 2023 @ 20:00:00.000",ahoranoticiasmega,"Detienen a sujeto por robo de maquinaria industrial: Fue localizado por venta de productos en Marketplace","Un exitoso operativo logró Carabineros de la 4ª Comisaría de Santiago, luego que en conjunto con víctimas de robos lograron la captura de un sujeto que sustrajo maquinaria industrial para ponerla en venta por Marketplace. El detenido cometió ilícitos en las comunas de Pirque y La Pintana, logrando la recuperación especies avaluadas en 300 millones de pesos. Ir a la siguiente nota Carabineros de la 4ª Comisaría, específicamente del Servicio Focalizado, son alertados por un hombre, el que señaló que este martes 30 de mayo fue víctima de un robo en lugar no habitado en la comuna de Pirque, donde le sustrajeron diversas especies y maquinarias industriales del rubro de la construcción de inmuebles y del desarrollo de proyectos de asfaltado, todo avaluado en más de 40 millones de pesos.  En paralelo a esto, la víctima señaló a Carabineros que, a través de la plataforma de venta de Facebook, Marketplace, encontró que las maquinarias que le fueron sustraídas eran ofertadas vinculadas a una dirección ubicada en calle Manuel Antonio Tocornal a la altura del 2299, por lo que Carabineros concurrió hasta esta dirección junto al denunciante. Funcionarios de civil simularon ser interesados en comprar las especies, situación que finalmente se concreta, tras la cual se le informa al vendedor su detención por receptación de maquinaria industrial. Tras la detención del sujeto de 54 años de nacionalidad chilena y con antecedentes previos y reiteraciones en receptación de maquinarias de alto valor comercial, Carabineros ingresó a la propiedad, hallando en el interior de una bodega diversas especies cuyo origen se deberá establecer, sin descartar se trate de objetos robados. Entre las especies recuperadas se encontraban equipos de compactación, generadores eléctricos, rodillos compactadores manuales, rodillos compactadores automáticos, cortadoras de pavimento, maquinaras de termofusión, maquinarias para montajes de motor, rodillos de doble tambor, placas compactadoras, cortadoras de pavimento, trompos mezcladores y compactadores del tipo vibropisón, todo avaluado en más de 300 millones de pesos. Todo sobre Región Metropolitana","https://www.meganoticias.cl/nacional/415727-detienen-sujeto-robo-maquinaria-industria-localizado-marketplace-01-06-2023.html"
"May 31, 2023 @ 20:00:00.000",ahoranoticiasmega,"Capturan a dos adolescentes por robo con intimidación en Renca: Fueron aprehendidos tras seguimiento controlado","Durante la noche de este miércoles, Carabineros logró la captura de dos adolescentes que efectuaron un robo con intimidación en la comuna de Renca. Personal policial logró la detención de los sujetos tras un seguimiento controlado, que incluyó apoyo de la Prefectura Aérea, finalizando en la comuna de Quilicura. Ir a la siguiente nota Cerca de las 23:00 horas en calle La Esquina con La Punta, vía radial, personal policial fue alertado por un hombre de 36 años de nacionalidad colombiana, el cual manifestó que recientemente había sido víctima de un robo con intimidación por parte de dos sujetos premunidos de armas de fuego y que se movilizaban en un automóvil color blanco.  Los menores le sustrajeron su teléfono celular y un manojo de llaves, además intentaron quitarle su vehículo particular, no logrando concretar su cometido, al percatarse de la presencia policial. A raíz de lo anterior, se inició un seguimiento controlado por diferentes arterias y sin perder de vista al automóvil que se daba a la fuga, el cual finalizó en la comuna de Quilicura. El operativo permitió la detención de los jóvenes, así como también la incautación del automóvil en el que se trasladaban. Todo sobre Santiago","https://www.meganoticias.cl/nacional/415731-capturan-dos-adolescentes-robo-con-intimidacion-renca-01-06-2023.html"
"May 31, 2023 @ 20:00:00.000",ahoranoticiasmega,"Grupo de sujetos a rostro cubierto roba casa en Peñalolén: Sustrajeron dinero en efectivo y un automóvil","Un violento asalto se registró durante la noche de este miércoles, luego que un grupo de desconocidos ingresó a rostro cubierto a un domicilio en la comuna de Peñalolén. Los antisociales sustrajeron diversas especies durante este robo con violencia, donde lograron dinero en efectivo y se llevaron un automóvil durante el ilícito. Ir a la siguiente nota El capitán Matías Reiser, el oficial de ronda de la Prefectura Santiago Oriente, contó que fueron cuatro los antisociales que irrumpieron en el hogar e intimidaron a una de las víctimas.  ""Cuatro sujetos a rostro cubierto intimidaron con un arma de fuego y golpearon con esta al dueño de casa para sustraer diferentes especies, dinero en efectivo y un vehículo que, posteriormente, usaron para su huida"", detalló el funcionario policial. Asimismo, agregó que el jefe de hogar sólo resultó con lesiones leves. Los antecedentes fueron puestos a disposición del Ministerio Público para dar con el paradero de los delincuentes. Todo sobre Región Metropolitana","https://www.meganoticias.cl/nacional/415730-sujetos-rostro-cubierto-roba-casa-penalolen-dinero-efectivo-automovil-01-06-2023.html"
"May 31, 2023 @ 20:00:00.000",elciudadano,"Cuenta Pública 2023: Todos los anuncios y compromisos presentados por el Presidente Gabriel Boric","El Presidente Gabriel Boric presentó este jueves su segunda Cuenta Pública ante la ciudadanía, tras quince meses de haber asumido la jefatura de Estado. En el acto realizado en la sede del Congreso en Valparaíso, el mandatario se refirió a una serie de avances y soluciones concretas alcanzadas por su administración para responder a las necesidades, urgencias y cambios más sentidos por las familias chilenas. «Hemos conseguido materializar un conjunto de cambios que están en nuestro programa y que significan mejoras significativas en la vida de nuestros compatriotas», afirmó. En su alocución planteó una hoja de ruta orientada a avanzar de forma gradual y responsable en la construcción de un Estado de Bienestar que proteja a las personas, con base en el diálogo y en la búsqueda de acuerdos transversales. A continuación algunos de los anuncios, compromisos y logros plasmados en la cuenta pública del presidente Boric. Principales anuncios -Fin a la tarifa eléctrica de invierno: Hemos decidido eliminar por vía administrativa la tarifa de invierno, la que se hará efectiva desde 2024, pero aplicará de manera retroactiva para los inviernos de 2021 al 2023. -Bono Invierno: Apoyaremos a más de 1 millón 500 mil personas mayores, complementando excepcionalmente el Bono Invierno que llegará a un total de $120.000. -Proyecto de ley para reintegro de carabineros retirados: este mes ingresaremos un PDL para ampliar el llamado a servicio que permite convocar a carabineros recientemente retirados para que vuelvan al servicio activo. Por esa vía esperamos reincorporar a 877 efectivos. -Discusión inmediata del proyecto de ley del Ministerio de Seguridad Pública: Pondremos discusión inmediata a partir de la próxima semana. –Creación de nuevas instituciones en seguridad: Crearemos el Sistema de Inteligencia del Estado, la Agencia de Ciberseguridad y el Servicio de Atención de Víctimas. -Fortalecimiento de los municipios en materia de seguridad y prevención del delito: Potenciaremos el rol que los municipios cumplen en la prevención del delito con modificaciones a la Ley Orgánica de Municipalidades. También, hemos acordado con los gobernadores regionales reconocerles facultades para contribuir a la prevención del delito y en la protección de las víctimas. Adelantaremos para julio el proyecto de ley comprometido para ello. -Demolición de memoriales narco y restricción de funerales de alto riesgo: La Subsecretaría de Desarrollo Regional transferirá recursos a los municipios para demoler todos los memoriales narco. En el caso de los funerales de alto riesgo, presentaremos un proyecto de ley para restringir las normas que permiten estas prácticas, limitando los días de velorio, el recorrido, entre otras medidas. Sistema de televigilancia con inteligencia artificial: Instalaremos en Chile el primer sistema de televigilancia que use inteligencia artificial y que se acompañe con un servicio de atención de emergencias que integre a todos los servicios que las atienden en una misma plataforma coordinada. El sistema comenzará en la región Metropolitana y nos permitirá monitorear miles de cámaras de seguridad para pesquisar autos con encargo de búsqueda, personas perdidas y personas buscadas por la justicia.-Habilitación de al menos 15 Centros de Salud Mental Comunitarios en el país y dejar en desarrollo otros 23: El Gobierno se compromete con la mayor inversión en salud mental del último tiempo. Se habilitarán al menos 15 Centros de Salud Mental Comunitarios, dejando 23 en desarrollo. –Plan Nacional de Reactivación Educativa: El Gobierno se compromete con tres metas concretas de asistencia y revinculación a las escuelas de aquí a finalizar el mandato: disminuir a la mitad la cantidad de estudiantes que presentan un nivel de inasistencia grave; recuperar el promedio de asistencia de las y los estudiantes a los niveles previos a la pandemia y elevar la tasa de revinculación anual a las escuelas a un 45% de los estudiantes desvinculados al año 2025. -Implementación de un Plan Integral para el Bienestar de Niños, Niñas y Adolescentes: Que contempla 20 iniciativas de diferentes ministerios, con una inversión adicional de 40 mil millones de pesos y refleja el compromiso del Gobierno con la protección de la niñez. –Proyecto de ley de Sistema Nacional de Cuidados en Chile: Se presenta este año y una red integrada de servicios e instituciones para que nadie más enfrente sola o solo la tarea de cuidar. –Transporte público regulado para el 60% de la población al 2025: Nuevas regulaciones beneficiarán a más de cinco millones 200 mil personas, para que tengan acceso al transporte público en los sistemas de transporte del Gran Concepción, Temuco-Padre Las Casas y las áreas rurales de la Región Metropolitana, como Talagante, Melipilla y Peñaflor. –Plan Trenes de Cercanía 30/30: Vamos a revitalizar la red ferroviaria entre el Maule y Los Lagos, con tres nuevos servicios de trenes que conectarán las localidades del interior con sus capitales regionales. Ese es nuestro Plan de Trenes de Cercanía 30 kilómetros / 30 minutos. -Infraestructura Carcelaria, aumento de plazas al 2026: Durante nuestro Gobierno aumentaremos en un 12% la capacidad actual del sistema penitenciario, habilitando cuatro mil 796 nuevas plazas al 2026. –Ingreso de proyecto de ley que fortalece y moderniza el Sernac: Chile necesita un Servicio Nacional del Consumidor eficiente con real capacidad de sancionar a las empresas que incumplan la ley y dar respuesta a ese más de 40% de casos que hoy quedan sin solución. –Creación de un Archivo Nacional de la Memoria: impulsaremos la creación de un Archivo Nacional de la Memoria y un conjunto de actividades en los que la sociedad civil será la protagonista. Museos, universidades, organizaciones sociales y de derechos humanos, partidos políticos se desplegarán en todo Chile con motivo de esta conmemoración. Compromisos del presidente Boric -Reforma de pensiones: Hoy Chile le exige al Gobierno y al Congreso Nacional celeridad, responsabilidad y compromiso en la tramitación de esta reforma y por eso para este gobierno esta es una prioridad. –Sala Cuna: Reafirmamos el compromiso de ampliar el derecho a Sala Cuna para todas ytodos, con recursos de la reforma tributaria. –Proyecto de ley de Isapres: el Gobierno está abierto a buscar soluciones para cumplir y respetar el fallo de la Corte Suprema de manera responsable y sin poner en riesgo las prestaciones de las familias. Pero tenemos claro que Chile no podría entender un nuevo perdonazo. -Reducción de tiempos de espera: Nuestra prioridad será reducir en un 40% los tiempos de espera al finalizar el gobierno. Esto significa bajar de los actuales 330 días para una cirugía, a 200 días, llegando a la menor cifra en los tiempos de listas de espera, desde que se registran centralizadamente. –Plan de Reactivación Educativa: en enero de este año se dieron a conocer las nuevas medidas del Plan, que continúa los esfuerzos realizados en 2022 para acortar la brecha de aprendizajes tras la pandemia y reducir el ausentismo escolar. Entre las medidas destacan el Plan Nacional de Tutorías, convocando a 20 mil tutores voluntarios para reforzar habilidades de lectura y escritura en todo Chile, la contratación de mil 300 profesionales de la educación para revincular a quienes han dejado las aulas y la inversión de más de 119 mil millones de pesos para reparar y mejorar escuelas y colegios. En 2023 estamos destinando 155 mil millones de pesos para estos fines. -Deuda histórica de los profesores: Se hace necesario avanzar en la reforma tributariapara que el Estado tenga los recursos suficientes para saldar esta deuda generada endictadura. El Presidente Gabriel Boric ha instruido avanzar con los casos más urgentes en diálogo con los profesores. –CAE y otras deudas educativas: Terminar con el Crédito con Aval del Estado, establecer un nuevo sistema de financiamiento para quienes no tienen gratuidad y aliviar la carga de deudas educativas son compromisos que vamos a abordar con convicción ydiálogo. El año pasado nos comprometimos a ingresar un proyecto de ley una vezaprobada la reforma tributaria. Tren rápido Santiago-Concepción: ya estamos avanzando en los estudios de prefactibilidad necesarios para habilitar la construcción del acceso norte del tren rápido entre Santiago y Concepción. -Centros de atención en violencia sexual: El compromiso es que a través del programa Estado Presente, financiado con la reforma tributaria, cada región del país tenga su centro. -Ser uno de los principales productores de hidrógeno verde: Trabajaremos junto a las localidades para construir una estrategia local de desarrollo limpio y sostenible. El Gobierno está trazando un Plan de Acción para el desarrollo de esta industria, para la cual contamos con financiamiento del Banco Interamericano de Desarrollo y el Banco Mundial por hasta 750 millones de dólares. -Nueva Ley de Pesca: Ingresaremos al Congreso un proyecto de ley que cumplirá nuestro compromiso de una distribución más equitativa de recursos, fortaleciendo la investigación científica, logrando condiciones mínimas de protección social para pescadoras y pescadores artesanales y reglas claras, justas y sostenibles, para todos los actores involucrados -Plan Nacional de Búsqueda: Hoy lo lidera el Ministerio de Justicia y Derechos Humanos, en conjunto con las agrupaciones de familiares de víctimas y lo presentaremos en detalle en agosto de este año. Sabemos que ha pasado mucho tiempo y no claudicaremos en el deber moral de agotar los recursos necesarios para que los familiares de los detenidos desaparecidos y ejecutados, que no se han encontrado, conozcan la verdad de lo sucedido. -Juegos Panamericanos y Parapanamericanos 2023: Santiago 2023 será un hito en nuestra historia que dejará un valioso legado deportivo, social, urbano y ambiental. Estamos levantando el parque deportivo más grande de Sudamérica en el Estadio Nacional, mil 355 viviendas sociales en Cerrillos e importantes obras de infraestructura deportiva. Además, será un paso en el camino que busca convertirnos en sede del Mundial de Fútbol 2030 junto con Argentina, Paraguay y Uruguay. Sigue leyendo:","https://www.elciudadano.com/politica/cuenta-publica-2023-todos-los-anuncios-y-compromisos-presentados-por-el-presidente-gabriel-boric/06/01/"
"May 31, 2023 @ 20:00:00.000",elciudadano,"Presidente Boric sobre la situación de las Isapres: «Chile no podría entender un nuevo perdonazo»","El presidente Gabriel Boric se refirió este jueves a la situación a la situación que se registra en las Isapres y los proyectos de ley presentados tanto por el Gobierno como por la oposición, para resolver el fallo de la Corte Suprema. En su segunda Cuenta Pública, el presidente Boric calificó que esta situación es «delicada» para «cerca de 3 millones de personas que hoy están afiliadas a una Isapres». «Las Isapres han sido condenadas por la justicia a devolver los cobros excesivos que realizaron a sus usuarios durante años», añadió. En este sentido, el mandatario chileno indicó que – desde el Gobierno Nacional – se está trabajando para buscar soluciones y respetar el fallo de la Corte Suprema «de manera responsable». «Mi Gobierno está abierto a acordar soluciones y alternativas que permitan cumplir y respetar el fallo de la Corte Suprema de manera responsable, y que no ponga en riesgo las prestaciones a estas miles de familias. Podemos mejorar la ley corta que presentamos a tal efecto. Pero reitero: Chile no podría entender un nuevo perdonazo», recalcó. Cabe recordar que hay tres proyectos que se encuentran en el Senado para buscar una solución a la situación de la Isapres. Una es la Ley Corta presentada por el Gobierno Nacional, y otra que fue presentada por la oposición  que busca anular lo medular de lo instruido por la Corte Suprema sobre el Isapres. No obstante, también se presentó un nuevo proyecto – encabezado por la diputada Joanna Pérez (Demócratas) – en el que se buscaría establecer un «mecanismo voluntario de compensación», convirtiendo la deuda en acciones y bonos a favor de los cotizantes. Por su parte, la Corte Suprema acogió la solicitud de la Superintendencia de Salud para ampliar en seis meses el plazo para el cumplimiento de la sentencia sobre adecuación de planes de Isapres por la tabla de factores. Te interesa leer: Ministra Camila Vallejo responde a críticas de las Isapres al Gobierno: “Siguen planteando problemas y no soluciones” «No al perdonazo, no más lucro en la salud»: Fenpruss llama a las Isapres a cumplir el fallo de la Corte Suprema","https://www.elciudadano.com/actualidad/presidente-boric-sobre-la-situacion-de-las-isapres-chile-no-podria-entender-un-nuevo-perdonazo/06/01/"
"May 31, 2023 @ 20:00:00.000",elciudadano,"Ministro Marcel analiza los desafíos de la economía chilena y enfatiza en la reforma tributaria","En su exposición, el ministro Marcel profundizó sobre las fortalezas, oportunidades, debilidades y amenazas que enfrenta la economía chilena en relación a su crecimiento y desarrollo. Ver Conferencia de Mario Marcel, Ministro de Hacienda de Chile Con información de Comunicaciones Departamento de Ingeniería Industrial Universidad de Chile El ministro de Hacienda, Mario Marcel, fue invitado por el Departamento de Ingeniería Industrial de la Universidad de Chile para realizar la conferencia “Chile: sentando las bases para el mediano plazo”, instancia en la que profundizó sobre las fortalezas, oportunidades, debilidades y amenazas que enfrenta la economía chilena en relación a su crecimiento y desarrollo. Concluida su presentación, además, conversó con la académica Pamela Jervis, con quien abordó temas sobre descentralización, reforma tributaria, educación y evaluación de proyectos públicos. En su exposición, el encargado de las arcas fiscales afirmó que, frente a un crecimiento tendencial de menos de 2,5% anual, nuestro país podría aspirar a un crecimiento de hasta dos puntos adicionales si saca partido de sus ventajas competitivas y enfrenta sus debilidades. “El desafío es apoyarnos en nuestras fortalezas, aprovechar las oportunidades y hacer frente a las debilidades y amenazas”, planteó Marcel a la comunidad universitaria. Agregó, asimismo, que con estos dos puntos porcentuales aumentaría nuestro ingreso per cápita, nuestro crecimiento en productividad y, con esto, el crecimiento de nuestra economía. “Hay países que demuestran que esto se puede hacer”, aseguró. Entre las fortalezas de nuestro país, en las cuales el ministro de Hacienda llamó a apoyarse, se encuentran: Entre nuestras debilidades, en tanto, el ministro mencionó: En el horizonte de las oportunidades que pueden hacer una diferencia para nuestro crecimiento y desarrollo económico, Mario Marcel destacó: Entre las situaciones poco favorables para nuestro país, por último, el titular de la cartera de Hacienda mencionó: En la última parte de su exposición, Marcel se refirió al Plan “Invirtamos en Chile”, programa que considera seis ejes de acción (estímulos tributarios a la inversión privada, mejor acceso a financiamiento, mejoras para la inversión pública, promoción de la inversión extranjera, aumento de la eficacia de los procedimientos en regulaciones y permisos, y alianzas público-privadas para la inversión) y 28 líneas de trabajo. Una iniciativa que, dijo, se implementa desde septiembre de 2022 y que registra un 65% de avance (en ejecución y/o término de las acciones propuestas). El titular de la cartera de Hacienda también mencionó la Agenda de Productividad para promover el crecimiento y el dinamismo de la economía, fruto del trabajo conjunto entre los ministerios de Hacienda, Economía y Trabajo, la CUT y los distintos gremios empresariales, una iniciativa que se materializó en más de 40 medidas. Por último, expuso varias iniciativas en curso que permitirán que nuestro país avance hacia un mercado de capitales más profundo, estable e inclusivo. Entre ellas, la Ley de Innovación Financiera (Fintech), la internacionalización del CLP (RUT simplificado), el mercado de derivados y el programa para agentes formadores de mercado. Concluida su presentación, Marcel conversó con la académica del Departamento de Ingeniería Industrial de la Universidad de Chile, Pamela Jervis. En este espacio, donde abordó temas como descentralización, reforma tributaria, educación y evaluación de proyectos públicos, respondió diversas preguntas. Consultado sobre la reforma tributaria que continúa pendiente, Marcel dijo que lo que se tiene que hacer ahora es modificar las propuestas del Ejecutivo, de tal manera que estas sean capaces de concitar un apoyo transversal. “Lo que se busca con esta reforma es aumentar la recaudación no porque sí (…) Lo que se quiere es gastar o invertir en cosas que la sociedad requiere”, destacó. En esta línea, además, precisó que la idea es que los impuestos sean progresivos, es decir, que aquellos que tienen más aporten más. Por último, sobre los obstáculos en torno a este tema, afirmó que “si no lo resolvemos ahora va a seguir siendo tema para los futuros gobiernos”. En materia de educación, específicamente en relación a su calidad, Marcel reconoció que si bien existen falencias importantes, el Gobierno está enfocado en devolver a los niños a las escuelas. “Después de la pandemia no subestimaría la importancia de esto”. Por último, enfatizó que “no tenemos todo el tiempo del mundo para resolver las cosas. Mientras más nos demoramos en resolver los temas tributarios, de pensiones, se van perdiendo oportunidades. Debemos tener un sentido de urgencia. Hay muchos países que quieren producir hidrógeno verde, litio. No perdamos la oportunidad”.","https://www.elciudadano.com/actualidad/ministro-marcel-analiza-los-desafios-de-la-economia-chilena-y-enfatiza-en-la-reforma-tributaria/06/01/"
"May 31, 2023 @ 20:00:00.000",elciudadano,"Grupo México cede tramo, retira demanda y gobierno le amplía concesión","El acuerdo entre la empresa Ferro Sur, perteneciente a Grupo México, y el gobierno federal implica que el consorcio ceda 180 kilómetros que tenía de concesión en el Istmo de Tehuantepec (128 entre Medias Aguas a Coatzacoalcos y 52 kilómetros de ramales) a cambio de que se le amplíe el periodo de concesiones del Istmo hacia el puerto de Veracruz, del año 2036 al 2044. LEER ADEMÁS: Gobierno llega a acuerdo con Grupo México, anuncia AMLO En su conferencia mañanera de este jueves, el presidente Andrés Manuel López Obrador dijo que el acuerdo se firmó la noche del miércoles 31 de mayo y consideró que se trata de un acuerdo benéfico para ambas partes pues en el caso del gobierno, se recupera para la nación un tramo ferroviario en la zona estratégica del Istmo de Tehuantepec. “Se llegó al acuerdo de entregar voluntariamente este tramo de concesión, que es estratégico”, destaco. López Obrador dijo que como ya estaba instalada la mesa de negociación se aprovechó para pactar el retiro de una demanda de otra subsidiaria de Grupo México en contra del Tren Maya. Es un proyecto muy importante porque se trata de unir Pacífico con el Golfo, “son 250 o 300 kilómetros y en agosto la nueva vía va empezar a funcionar, el tren de carga y luego de pasajeros, agregó el mandatario. En su turno, el secretario de Gobernación, Adán Augusto López dijo que el Instituto de Administración y Avalúos de Bienes Nacionales realizó el avalúo y se estimó en 836.8 millones de pesos el costo, lo cual se tradujo en una ampliación de 8 años en otra de las concesiones ferroviarias del grupo México. Se convino que si los trenes de Grupo México quieren utilizar el tramo reincorporado a propiedad de la nación, pagarán 4.10 pesos por vagón y 8.15 pesos por locomotora, reconociéndose el derecho de paso por esa vía. El secretario agregó que por parte del gobierno firmaron el acuerdo las secretarías de Gobernación, Marina y Hacienda. Foto: Internet Recuerda suscribirte a nuestro boletín 📲 https://t.me/ciudadanomx📰 elciudadano.com","https://www.elciudadano.com/mexico/grupo-mexico-cede-tramo-retira-demanda-y-gobierno-le-amplia-concesion/06/01/"
"May 31, 2023 @ 20:00:00.000",elciudadano,"Presidente Boric: “No queremos una Constitución partisana, sino una Constitución incluyente que acoja el libre juego democrático»","“No queremos una Constitución partisana, sino una Constitución incluyente que acoja el libre juego democrático, que promueva los acuerdos, que acelere las decisiones», afirmó este jueves el presidente de la República Gabriel Boric, al referirse al proceso de redacción de la nueva Carta Magna que se desarrolla actualmente. Durante la presentación de la Cuenta Pública 2023, el mandatario señaló que luego del rechazo popular a la propuesta de la Convención pasada, «quienes estamos en este salón, a pesar de nuestras diferencias, fuimos capaces de reencauzar el proceso constitucional, asumiendo sin complejos las lecciones y aprendiendo de la experiencia anterior». «Es así como constituimos nuevas instancias y elegimos con alta participación al Consejo Constitucional, el cual tendrá ante sí un borrador que ha sido aprobado por la unanimidad de los expertos en un encomiable esfuerzo por poner de acuerdo diferentes visiones del que debemos aprender», expresó desde el Congreso Nacional en Valparaíso. No obstante, el jefe de Estado planteó que queda aún mucho debate y un nuevo borrador de nueva constitución que será plebiscitado en diciembre próximo. «Tengo confianza que se buscará lograr una propuesta que pueda ser abrazada como suya por unaamplia mayoría de las chilenas y chilenos, de tal modo que podamos cerrar esta página y disponer de una certidumbre básica para desarrollar nuestras vidas y emprendimientos», dijo. Sigue leyendo:","https://www.elciudadano.com/politica/presidente-boric-no-queremos-una-constitucion-partisana-sino-una-constitucion-incluyente-que-acoja-el-libre-juego-democratico/06/01/"
